path,namespace,primary_type,type_category,approx_lines,base_type,interfaces,direct_dependencies,lifecycle_methods,state_complexity,main_responsibility,suspected_additional_responsibilities,scope,intended_reuse,confidence
Assets/ShooterMover/Production/Stage1/Stage1VisibleSliceController.cs,ShooterMover.TestSupport.VisibleSlice,Stage1VisibleSliceController,MonoBehaviour,2194,MonoBehaviour,"IGeneralCombatHudStateSource;IVisibleSliceBlasterTurretPresentationSource;IVisibleSliceReducedEffectsSource;IDoorTargetConditionReader;IVoidHazardCombatPort","rooms;objects;doors;turret;droid;props;weapons;combat;input;movement;HUD;camera;Unity",Awake|Update|FixedUpdate|OnDestroy,very-high,Stage1 scene composition,"player construction;health;input;weapons;projectiles;enemies;rooms;HUD;camera;restart;VFX;tests",composition,stage-specific,high
Assets/ShooterMover/Production/Stage1/Stage1PlayerPresentationV1.cs,ShooterMover.Production.Stage1,Stage1PlayerPresentationV1,MonoBehaviour,486,MonoBehaviour,,"movement;input;enemy target;void hazard;physics;Unity Input System",Start|LateUpdate|OnDestroy,high,player runtime projection,"construction;migration capture;fallback visuals;restart;resource disposal",Unity adapter,global,high
Assets/ShooterMover/Production/Stage1/Weapons/Stage1WeaponExecutionV1.cs,ShooterMover.Production.Stage1.Weapons,Stage1WeaponExecutionDispatcherV1 and related,application/runtime,449,object,"IStage1WeaponExecutorV1;IStage1WeaponEffectSinkV1","StableId;Unity Vector3;collections",none,medium,weapon behaviour dispatch,"contracts;registry;tuning;four behaviours;cooldown;dedupe",application,global,high
Assets/ShooterMover/Runtime/Application/Missions/Run/LevelRunCoordinatorV1.cs,ShooterMover.Application.Missions.Run,LevelRunCoordinatorV1,application service,unknown,object,see source,"run contracts;holdings;results;rewards",none,high,coordinate production run,"active slot;events;completion;authority projections",application,mode-specific,medium
Assets/ShooterMover/Runtime/Application/Missions/Run/LevelRunCoordinatorV1.Events.cs,ShooterMover.Application.Missions.Run,LevelRunCoordinatorV1,partial application service,unknown,object,see source,"run events;enemy/reward/result ports",none,medium,run event handling,,application,mode-specific,medium
Assets/ShooterMover/Runtime/Application/Missions/Run/LevelRunLoadoutResolverV1.cs,ShooterMover.Application.Missions.Run,LevelRunLoadoutResolverV1,resolver,unknown,object,,"holdings;equipment definitions;StableId",none,low,resolve exact equipped instance,,application,global,medium
Assets/ShooterMover/Runtime/Application/Missions/Run/Stage1ProductionRunComposerV1.cs,ShooterMover.Application.Missions.Run,Stage1ProductionRunComposerV1,composer,unknown,object,,"run coordinator;authorities;route context",none,medium,compose Stage1 run session,"validation;dependency projection",composition,stage-specific,medium
Assets/ShooterMover/Runtime/Application/Missions/Run/Stage1ProductionRunSessionV1.cs,ShooterMover.Application.Missions.Run,Stage1ProductionRunSessionV1,session,unknown,object,,"run coordinator;authority context",none,medium,hold active Stage1 run application state,,application,stage-specific,medium
Assets/ShooterMover/Runtime/Application/Missions/Run/Stage1ProductionAuthorityContextV1.cs,ShooterMover.Application.Missions.Run,Stage1ProductionAuthorityContextV1,immutable context,unknown,object,,"holdings;XP;rewards;results",none,low,project persistent authorities into Stage1,,application,stage-specific,medium
Assets/ShooterMover/Runtime/Application/Missions/Run/MissionResultsRouteContextV1.cs,ShooterMover.Application.Missions.Run,MissionResultsRouteContextV1,immutable route payload,unknown,object,,"mission result;profile route",none,low,route frozen results,,application,global,medium
Assets/ShooterMover/Runtime/Bootstrap/ProductionSessionAuthorityOwnerV1.cs,ShooterMover.Runtime.Bootstrap,ProductionSessionAuthorityOwnerV1,persistent owner,unknown,object,,"holdings;inventory;XP;rewards;results",unknown,high,own persistent authority bundle,"cross-scene lifecycle;cleanup",composition,global,medium
Assets/ShooterMover/Runtime/Bootstrap/BootstrapCompositionRoot.cs,ShooterMover.Runtime.Bootstrap,BootstrapCompositionRoot,composition root,unknown,MonoBehaviour,,"bootstrap services;session owner;Unity",Awake|OnDestroy,medium,compose persistent application runtime,,composition,global,medium
Assets/ShooterMover/Runtime/Bootstrap/Unity/BootstrapSceneAdapter.cs,ShooterMover.Runtime.Bootstrap.Unity,BootstrapSceneAdapter,MonoBehaviour adapter,unknown,MonoBehaviour,,"scene management;bootstrap root",Awake|Start,medium,bind bootstrap to Unity scene,,Unity adapter,global,medium
Assets/ShooterMover/Runtime/UnityAdapters/Missions/Run/Stage1ProductionRunSceneAdapterV1.cs,ShooterMover.UnityAdapters.Missions.Run,Stage1ProductionRunSceneAdapterV1,MonoBehaviour adapter,unknown,MonoBehaviour,,"run binding;scene objects;Unity",Awake|Start|OnDestroy,medium,bind Stage1 scene to run session,"validation;lifecycle",Unity adapter,stage-specific,medium
Assets/ShooterMover/Runtime/UnityAdapters/Missions/Run/Stage1ProductionRunBindingV1.cs,ShooterMover.UnityAdapters.Missions.Run,Stage1ProductionRunBindingV1,binding,unknown,MonoBehaviour,,"run coordinator;enemy/room/extraction events",unknown,medium,forward Stage1 runtime events,,Unity adapter,stage-specific,medium
Assets/ShooterMover/Runtime/UnityAdapters/Missions/Run/Stage1EnemyDestructionRelayV1.cs,ShooterMover.UnityAdapters.Missions.Run,Stage1EnemyDestructionRelayV1,relay,unknown,MonoBehaviour,,"enemy destruction;run binding",unknown,low,forward destruction notification,"possibly generic event translation",Unity adapter,global,medium
Assets/ShooterMover/Runtime/UnityAdapters/Missions/Run/Stage1ProductionWeaponInputV1.cs,ShooterMover.UnityAdapters.Missions.Run,Stage1ProductionWeaponInputV1,input adapter,unknown,MonoBehaviour,,"Input System;run coordinator",Update,medium,map weapon input to production command,"polling;binding ownership",Unity adapter,global,medium
Assets/ShooterMover/Runtime/UnityAdapters/Missions/Run/Stage1ProductionWeaponSlotSelectionV1.cs,ShooterMover.UnityAdapters.Missions.Run,Stage1ProductionWeaponSlotSelectionV1,selection adapter,unknown,MonoBehaviour,,"run coordinator;active slot",unknown,low,select exact active loadout slot,,Unity adapter,global,medium
Assets/ShooterMover/UI/LevelSelection/Stage1ProductionCompositionRootV1.cs,ShooterMover.UI.LevelSelection,Stage1ProductionCompositionRootV1,composition root,unknown,MonoBehaviour,,"route context;authorities;Stage1 scene adapters",Awake|Start|OnDestroy,high,compose Stage1 production scene,"located under UI ownership",composition,stage-specific,medium
Assets/ShooterMover/UI/LevelSelection/Stage1ProductionPresentationHostV1.cs,ShooterMover.UI.LevelSelection,Stage1ProductionPresentationHostV1,presentation host,unknown,MonoBehaviour,,"retained controller;route validation",Start|Update,medium,gate retained presentation during migration,"production/demo bridge",presentation,stage-specific,medium
Assets/ShooterMover/UI/Results/ResultsControllerV1.cs,ShooterMover.UI.Results,ResultsControllerV1,UI controller,unknown,MonoBehaviour,,"immutable mission result;route context;scene routing",Start|OnGUI,medium,read-only Results presentation,"routing back to Hub",presentation,scene-specific,medium
Assets/ShooterMover/UI/CharacterSelect/CharacterSelectProductionRoutingV1.cs,ShooterMover.UI.CharacterSelect,CharacterSelectProductionRoutingV1,route adapter,unknown,MonoBehaviour,,"route contexts;scene loading",unknown,low,route character selection into production flow,,presentation,scene-specific,medium
Assets/ShooterMover/UI/Hub/HubReturnRouteInstallerV1.cs,ShooterMover.UI.Hub,HubReturnRouteInstallerV1,route installer,unknown,MonoBehaviour,,"Hub route context",unknown,low,restore Hub route payload,,presentation,scene-specific,medium
Assets/ShooterMover/UI/Hub/UnityHubRouteDestinationAdapterV1.cs,ShooterMover.UI.Hub,UnityHubRouteDestinationAdapterV1,route adapter,unknown,MonoBehaviour,,"scene loading;Hub destination",unknown,low,perform Hub navigation,,Unity adapter,scene-specific,medium
Assets/ShooterMover/UI/PlaySelection/PlaySelectionProductionRoutingV1.cs,ShooterMover.UI.PlaySelection,PlaySelectionProductionRoutingV1,route adapter,unknown,MonoBehaviour,,"route contexts;scene loading",unknown,low,route play selection,,presentation,scene-specific,medium
Assets/ShooterMover/UI/LevelSelection/LevelSelectionRoutingV1.cs,ShooterMover.UI.LevelSelection,LevelSelectionRoutingV1,route adapter,unknown,MonoBehaviour,,"route contexts;level selection",unknown,low,route selected level,"may know Stage1 composition details",presentation,scene-specific,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/ProductionSessionAuthorityContextV1.cs,ShooterMover.Application.Flow.Hub,ProductionSessionAuthorityContextV1,immutable context,unknown,object,,"persistent authorities",none,low,carry authority bundle across flow,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/StarterRouteProfileFactoryV1.cs,ShooterMover.Application.Flow.Hub,StarterRouteProfileFactoryV1,factory,unknown,object,,"profile;starter holdings/loadout",none,low,create deterministic starter route profile,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/CharacterSelectionEntryRouteContextV1.cs,ShooterMover.Application.Flow.Hub,CharacterSelectionEntryRouteContextV1,immutable route payload,unknown,object,,"profile/session context",none,low,route into character selection,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/PlaySelectionEntryRouteContextV1.cs,ShooterMover.Application.Flow.Hub,PlaySelectionEntryRouteContextV1,immutable route payload,unknown,object,,"profile/session context",none,low,route into play selection,,application,global,medium
Assets/ShooterMover/Runtime/Application/Flow/Hub/HubReturnRouteContextV1.cs,ShooterMover.Application.Flow.Hub,HubReturnRouteContextV1,immutable route payload,unknown,object,,"profile/session context",none,low,return to same Hub state,,application,global,medium
Assets/ShooterMover/Runtime/Contracts/Missions/Run/LevelRunContractsV1.cs,ShooterMover.Contracts.Missions.Run,LevelRunContractsV1,contracts,unknown,object,see source,"StableId;immutable payloads",none,low,define run commands/results/events,,domain/application contract,global,medium
Assets/ShooterMover/ContentPackages/Rooms/Stage1VisibleSlicePresentation/*,various,Stage1VisibleSliceRoomPresentation,presentation package,unknown,MonoBehaviour,see source,"room bounds;visual assets;Unity",unknown,medium,present Stage1 rooms,"may include generic room visuals",presentation,stage-specific,low
Assets/ShooterMover/ContentPackages/Weapons/Shared/Runtime/*,various,BoundedProjectile2D and related,gameplay runtime,unknown,MonoBehaviour,see source,"physics;combat;Unity",Update|FixedUpdate|collision,medium,reusable projectile runtime,"lifetime;collision;damage",Unity adapter,global,medium
Assets/ShooterMover/ContentPackages/Enemies/BlasterTurret/*,various,BlasterTurretPackage and authority,enemy package,unknown,mixed,see source,"enemy domain;targeting;projectiles;Unity",mixed,medium,blaster turret behaviour and presentation,"cadence;health;restart",mixed,global,medium
Assets/ShooterMover/ContentPackages/Enemies/MobileBlasterDroid/*,various,MobileBlasterDroidRuntime2D and definition,enemy package,unknown,mixed,see source,"movement;targeting;combat;Unity",mixed,medium,mobile ranged enemy,"health;attack;visuals;restart",mixed,global,medium
Assets/ShooterMover/Runtime/Application/Missions/Rooms/*,ShooterMover.Application.Missions.Rooms,RoomMissionLayoutV1,application runtime,unknown,object,,"room graph definitions;StableId",none,medium,track current room and traversal,"restart;transition validation",application,mode-specific,medium
Assets/ShooterMover/Content/Definitions/Missions/Rooms/*,ShooterMover.Content.Definitions.Missions.Rooms,Level1RoomGraphDefinitionV1 and RoomContentDefinition2D,data definitions,unknown,ScriptableObject/mixed,,"StableId;prefab placement data",none,low,define room graph/content,,content,stage-specific,medium
