area,status,current_source_of_truth,completed_foundation,live_integration_status,remaining_legacy_owner,dependencies,relevant_prs,acceptance_tests,evidence_paths
Authoritative live weapon handoff,Not Started,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs: FireSelectedLoadout/FireWeapon/FireProjectile are the live firing path.,Merged holdings/loadout/equipment contracts preserve concrete equipment identity; the merged JSON catalog provides validated weapon content. PR #212 demonstrates an unmerged runtime-ID registry/dispatcher seam.,Stage 1 does not resolve the authoritative active equipment instance into live execution. The controller iterates a fixture and branches on weapon/package IDs.,"Stage1VisibleSliceController owns firing cadence, projectile construction, weapon branching, and the silent blaster fallback.",Exact equipment-instance resolution; atomic effect runtime; current-main scene adapter; production run/loadout authority chosen from merged main.,"#180, #202, #206, #211, #212, #213",PlayMode proves each starter weapon is selected from the exact active equipment instance and produces distinct live behavior; unknown/preview-only/unmapped IDs fail closed; no controller ID branch or fallback remains; exact replay and restart are deterministic.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/Application/Weapons/Catalog/WeaponCatalogJsonImporter.cs; docs/architecture/weapons/WEAPON_CATALOG_V1.md
Exact equipment-instance weapon resolution,Foundation,Merged holdings/inventory/loadout authorities own concrete equipment instances; the live controller still consumes Stage1WeaponLoadoutFixture weapon IDs rather than the exact active equipment instance.,"Concrete equipment-instance identity and ordered loadout projection are merged. PR #211 describes a production active-slot resolver, but that stack is not on main.","No current-main handoff carries equipment-instance ID, definition ID, runtime weapon ID, owner participant, operation ID, and lifecycle generation together into live firing.",Stage1VisibleSliceController.SelectedLoadout and FireSelectedLoadout collapse selection to package/weapon IDs.,Authoritative active-slot snapshot; trusted participant attribution; merged catalog mapping; live weapon execution contract.,"#180, #201, #202, #211, #212",Two independent equipment instances sharing one weapon definition remain distinguishable; firing forwards the selected instance unchanged; changing only the active instance changes attribution without changing definition behavior; stale or missing instance references reject without fallback.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/Application/Weapons/Catalog/WeaponCatalogJsonImporter.cs
Atomic effect runtime,Not Started,"The retained controller directly instantiates individual projectiles. Existing projectile/hit/enemy authorities handle their own transitions, but there is no authoritative all-or-nothing weapon-effect batch.",Reusable projectile and combat adapters exist. PR #212 defines effect requests but submits them one at a time; PR #206 carries advanced effect data but does not realize a complete atomic effect transaction.,Shotgun pellets and future multi-effect attacks can only be emitted as independent side effects. No current-main batch reserve/validate/commit boundary exists.,Stage1VisibleSliceController.FireWeapon/FireProjectile and any per-effect adapter that mutates before the whole operation is accepted.,"Engine-neutral effect-batch contract; exact operation/equipment/participant/generation context; adapters over existing projectile, hit, explosion, area, chain, pool, and damage authorities.","#206, #212, #213",A multi-effect request either commits every effect once or commits none; rejection after validation leaves no projectile/damage residue and permits exact retry; conflicting duplicate operations reject; independent operations may produce identical effects.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; PR #212: Assets/ShooterMover/Production/Stage1/Weapons/Stage1WeaponExecutionV1.cs
Reusable player runtime/presentation,Not Started,"Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs constructs and owns the player GameObject, Rigidbody2D, collider, input actions, movement adapters, target/hazard adapters, sprite, mounts, boost trail, restart, and disposal.","Movement, input, combat-target, hazard, and shared entity capabilities are merged. PR #211 contains an unmerged Stage1PlayerPresentationV1 extraction.","Current main has no reusable player installer/view that is the sole owner of construction, restart, presentation refresh, and disposal.","Stage1VisibleSliceController.BuildPlayer, RefreshBoostPresentation, player fields, inputActions cleanup, and player restart block.",Stable player identity; class/loadout configuration; movement lifecycle coordination; later player vital adapter; explicit ownership/disposal contract.,"#211, #213, #215",Exactly one player runtime owner and one InputActionAsset exist; movement/input/collision/boost behavior matches current Stage 1; restart preserves stable identity while advancing lifecycle generation; Stage 2/survival fixtures reuse the same installer without Stage1 dependencies.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/GameplayEntities/PlayerActorAuthority.cs; docs/architecture/gameplay/PLAYER_ACTOR_FOUNDATION_V1.md
Player vital/damage authority integration,Foundation,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs.playerHealth is live truth; hazards and enemy projectile callbacks mutate it directly; HUD and restart read/reset it.,"PR #215 merged PlayerActorAuthority, shared GameplayEntityIdentity/ownership, generation-scoped damage/healing deduplication, death attribution, and deterministic restart commands/results.",No Stage 1 adapter constructs or invokes PlayerActorAuthority. The merged foundation explicitly states that Stage 1 migration is incomplete.,"Stage1VisibleSliceController.RequestDamage, RequestInstantDeath, ApplyTurretProjectileDamageToPlayer, HUD snapshot creation, and QuickRestart health reset.",Trusted participant/source attribution; Unity hit/hazard adapters; movement/restart generation coordination; read-only HUD projection; run/death observers.,"#210, #213, #215",Hazard and enemy projectile damage enter one authority; exact replay does not damage twice; conflicting reuse rejects; death emits once with source actor/participant attribution; HUD reads immutable snapshots; restart rejects stale generation and removes local playerHealth.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/GameplayEntities/PlayerActorAuthority.cs; docs/architecture/gameplay/PLAYER_ACTOR_FOUNDATION_V1.md
Enemy package migration,Foundation,"Existing enemy packages remain canonical for enemy health/runtime behavior. Stage1VisibleSliceController selects package types, constructs definitions/contexts, activates/deactivates packages, applies some hits, and interprets destruction.","PRs #216 and #217 merged EnemyRuntimeProjection, generic attack intents, deterministic decision/debug snapshots, room-clear roles, geometric perception, separate vision/attack arcs, and a representative MobileBlasterDroid projection factory.","The representative projection is not the live Stage 1 decision path. Blaster Turret, Pursuer Drone, Ram Droid, and Four Blaster Elite still need package-specific projection/adapters; the controller still branches on Stage 1 enemy IDs.","Stage1VisibleSliceController.BuildAuthoredRooms, BuildMobileBlasterDroid, BuildTurret, hit forwarding, activation/projection switching, and enemy-specific HUD interpretation.",Per-package projection factories/adapters; Unity perception facts; generic attack executors; attributed terminal facts; room occupancy registration.,"#210, #213, #215, #216, #217",Each package projects canonical actor state without copying health; vision and attack arcs remain distinct; decisions are deterministic; attack intents execute through capability IDs; required/optional roles project correctly; controller contains no enemy package construction or decision ownership.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/GameplayEntities/Enemies/EnemyRuntimeProjection.cs; Assets/ShooterMover/Runtime/GameplayEntities/Enemies/EnemyDecisionPolicy.cs; Assets/ShooterMover/Runtime/GameplayEntities/Enemies/EnemyPerceptionBuilder.cs; docs/architecture/gameplay/ENEMY_RUNTIME_FOUNDATION_V1.md
Reusable room occupancy/clear runtime,Partially Live,RoomMissionLayoutV1 is live for graph progress and traversal. Stage1VisibleSliceController.DemoRoomProjection and enemyDestroyedReaders remain the live occupancy/clear truth and drive doors/objectives.,PR #181 merged immutable room graph definitions and RoomMissionLayoutV1. PR #210 merged the working two-room loop and retained room state. PR #216 merged EnemyRuntimeProjection.BlocksRoomClear role semantics.,"Graph/traversal is live, but occupant registration, exact occupant identity, terminal reporting, clear transitions, and door projection are still controller-local.","Stage1VisibleSliceController.DemoRoomProjection, BuildAuthoredRooms enemy branches, RefreshArenaFlow, door condition reading, and room activation logic.",Enemy runtime projections/terminal facts; exact room and occupant IDs; deterministic registration/removal; layout completion command; door/read-only objective projections.,"#181, #210, #213, #216, #217",Zero/one/many required occupants; optional/non-blocking occupants; duplicate terminal notifications; independent actors sharing a definition; leave/revisit retained state; locked exits; restart; no controller-owned occupancy list or clear calculation.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/Application/Missions/Rooms/RoomMissionLayoutV1.cs; Assets/ShooterMover/Content/Definitions/Missions/Rooms/Level1RoomGraphDefinitionV1.cs; docs/architecture/missions/ROOM_GRAPH_V1.md; Assets/ShooterMover/Runtime/GameplayEntities/Enemies/EnemyRuntimeProjection.cs
Restart lifecycle,Partially Live,"Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs.QuickRestart manually advances restartGeneration and resets player health, shot/damage counters, loadout, room layout, movement, enemies, gameplay scope, hit adapter, HUD, camera, and transient visuals in one ordered transaction.","Movement, room, enemy packages, gameplay scope, HUD/camera, and PlayerActorAuthority expose bounded restart/reset seams; shared restart vocabulary and lifecycle generation exist.","Subsystem restart calls are live, but registration, phases, ordering, failure behavior, and disposal are not owned by a reusable lifecycle coordinator.",Stage1VisibleSliceController.QuickRestart and OnDestroy cleanup order.,Explicit restart participant registry; stable participant IDs; deterministic phases only where required; rollback/fail-closed policy; weapon/effect/player/enemy/room adapters.,"#210, #211, #212, #213, #215",Initial run and restarted run satisfy identical construction invariants; stable identities remain stable while generations advance; stale commands/effects reject; no old projectiles/cooldowns/subscriptions survive; participant order is explicit; controller has no broad restart transaction.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/GameplayEntities/PlayerActorAuthority.cs
HUD/camera projection,Partially Live,"VisibleSliceGeneralCombatHud and VisibleSliceCameraRig are live components, but Stage1VisibleSliceController constructs/configures them, synthesizes gameplay snapshots from its own health/enemy/room truth, refreshes them each frame, and also draws a second compact OnGUI HUD.",Dedicated HUD/camera presentation components and read-only source interfaces exist.,"Presentation is extracted in shape, not in truth ownership. The controller remains snapshot assembler, refresh coordinator, camera factory, and duplicate HUD owner.","Stage1VisibleSliceController.BuildUi, BuildCamera, TryRead, TryReadSnapshot, RefreshHud, RefreshTurretPresentation, OnGUI, grayscale/reduced-effects coordination.",Player/enemy/room immutable projections; scene-bound configuration; explicit continuous-vs-event update policy; one HUD owner and one camera owner.,"#210, #211, #213",HUD and camera consume immutable projections only; health/objective/enemy state matches authorities; one HUD and one camera owner exist; reduced-effects/grayscale/restart behavior is preserved; no gameplay mutation or authority lookup occurs in presentation.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs
Stage1 controller retirement,Not Started,"Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs remains the approximately 2,192-line live scene composition root and practical owner/coordinator for player construction, local health, weapons, enemies, rooms, HUD, camera, and restart.","Several independent authorities and projections are merged, but none of the required ownership seams has been fully removed from the controller on current main.",The controller is still required for the playable two-room slice and cannot yet be deleted or reduced to composition-only wiring.,The entire Stage1VisibleSliceController ownership graph and its ShooterMover.TestSupport.VisibleSlice namespace/path.,All live migration rows above; end-to-end Stage 1 route/PlayMode/manual proof; one-controller-editor sequencing.,"#210, #211, #213, #215, #216, #217",All measurable retirement gates in this document pass; Stage 1 remains playable; controller contains scene composition and stage-specific bindings only; generic behavior is reusable by a second fixture without controller cloning.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs
Naming/path normalization,Not Started,"Live production-routed code still uses TestSupport/VisibleSlice/Demo naming, while some unmerged alternatives use Production/Stage1 for partly generic behavior.",The architecture audit identified scope mismatches; merged gameplay-entity paths demonstrate a suitable game-wide home for engine-neutral identity/decision contracts.,No current-main normalization has occurred. Renaming before ownership migration would hide rather than solve coupling and could create Unity GUID/assembly churn.,"ShooterMover.TestSupport.VisibleSlice, VisibleSlice-prefixed generic HUD/camera types, demo IDs, and Stage1-prefixed generic concepts in unmerged drafts.",One authoritative live path per subsystem; serialized GUID preservation; assembly dependency audit; no concurrent controller migration.,"#211, #212, #213, #215, #216, #217",No production-routed gameplay lives under TestSupport; generic systems do not depend on Stage1 namespaces; stage-specific definitions retain Stage1/Level1 names; Unity GUIDs and serialized references remain valid; focused compile/tests pass after each narrow move.,Assets/ShooterMover/TestSupport/VisibleSlice/Stage1VisibleSliceController.cs; Assets/ShooterMover/Runtime/GameplayEntities/PlayerActorAuthority.cs; Assets/ShooterMover/Runtime/GameplayEntities/Enemies/EnemyRuntimeProjection.cs
